Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  24.04.2012;141.14;141.19;140.49;140.62;832,015
  25.04.2012;140.52;140.61;140.04;140.2;863,902
  26.04.2012;140.39;141.07;140.2;140.92;800,936
  27.04.2012;141.22;141.38;140.63;140.7;691,325
  30.04.2012;140.7;141.21;140.59;141.09;524,917
  02.05.2012;140.87;141.83;140.71;141.73;732,371
  03.05.2012;141.7;141.82;141.26;141.71;651,488
  04.05.2012;141.73;142.13;141.47;142.05;545,276
  07.05.2012;142.32;142.44;141.77;141.82;294,535
  08.05.2012;141.95;142.64;141.92;142.55;638,729
  09.05.2012;142.49;143.03;142.41;142.8;719,252
  10.05.2012;142.64;143;142.26;142.61;825,461
  11.05.2012;142.87;143.09;142.49;142.77;618,799
  14.05.2012;143.04;143.69;142.95;143.4;656,746
  15.05.2012;143.39;143.53;142.89;143.45;879,015
  16.05.2012;143.45;143.69;142.83;143.18;1,028,708
  17.05.2012;143.18;144.03;143.1;143.67;681,884
  18.05.2012;144.01;144.06;143.54;143.64;576,322
  21.05.2012;143.41;143.69;143.17;143.57;614,856
  22.05.2012;143.35;143.55;143.03;143.09;700,822
  23.05.2012;143.57;144.28;143.35;144.06;859,782
  24.05.2012;143.83;144.55;143.83;143.97;932,851
  25.05.2012;144.02;144.39;143.63;144.23;683,157
  28.05.2012;144.07;144.47;143.89;144.37;259,711
  29.05.2012;144.22;144.58;144.02;144.3;743,941
  30.05.2012;144.25;145.47;144.24;145.33;1,206,133
  31.05.2012;145.34;146.08;144.97;146.03;1,147,525
  01.06.2012;145.89;146.89;145.84;146.34;1,385,858
  04.06.2012;146.31;146.33;145.63;145.78;755,352
  05.06.2012;145.69;146.34;145.59;145.76;946,015
  06.06.2012;145.5;145.72;144.31;144.66;579,997
  07.06.2012;144.58;144.68;143.9;144.22;32,14
  08.06.2012;143.41;144.18;143.26;143.53;859,679
  11.06.2012;142.67;144.08;142.48;143.89;847,094
  12.06.2012;143.92;143.97;141.75;142.48;1,181,364
  13.06.2012;142.17;142.34;141.44;141.71;1,121,295
  14.06.2012;141.99;142.43;141.53;141.83;965,635
  15.06.2012;141.75;142.63;141.69;142.29;721,116
  18.06.2012;141.59;143.09;141.14;142.64;834,088
  19.06.2012;142.64;142.95;141.19;141.36;893,114
  20.06.2012;141.42;141.46;140.17;140.49;996,565
  21.06.2012;140.56;141.57;140.35;141.52;898,926
  22.06.2012;141.4;141.73;140.52;140.88;734,845
  25.06.2012;140.99;142.26;140.95;142.15;652,927
  26.06.2012;142;142.11;141.24;141.7;826,152
  27.06.2012;141.57;141.72;140.98;141.11;550,599
  28.06.2012;141.28;142.01;141.11;141.71;689,929
  29.06.2012;140.65;141.03;139.72;140.9;857,826
  02.07.2012;140.9;141.78;140.68;141.68;663,22
  03.07.2012;141.57;141.73;141.25;141.46;526,839
  04.07.2012;141.43;142.44;141.38;142.32;434,183
  05.07.2012;142.4;143.29;142.14;143.12;732,884
  06.07.2012;143.2;144.02;143.15;143.94;593,553
  09.07.2012;143.94;144.28;143.85;143.99;460,411
  10.07.2012;144.13;144.24;143.66;144.11;580,717
  11.07.2012;144.18;144.71;143.95;144.64;629,661
  12.07.2012;144.62;145.01;144.57;144.84;484,175
  13.07.2012;144.94;145.16;144.52;144.72;475,095
  16.07.2012;144.88;145.3;144.67;145.04;417,811
  17.07.2012;144.83;145.27;144.62;145.12;544,26
  18.07.2012;145.06;145.5;144.83;145.34;491,475
  19.07.2012;145.21;145.34;144.83;145.14;453,89
  20.07.2012;145.2;145.88;145.12;145.77;440,035
  23.07.2012;146.1;146.26;145.52;145.55;567,173
  24.07.2012;145.45;145.49;144.51;145.03;871,888
  25.07.2012;145.11;145.2;144.02;144.69;769,547
  26.07.2012;144.66;145.11;143.77;144.01;798,91
  27.07.2012;143.86;144.29;142.64;143.21;777,594
  30.07.2012;143.08;143.66;142.99;143.39;581,013
  31.07.2012;143.33;144.62;143.29;144.57;727,454
  01.08.2012;144.5;144.5;143.23;143.5;685,079
  02.08.2012;143.45;145.17;142.83;144.88;920,835
  03.08.2012;144.85;144.96;142.68;142.95;804,094
  06.08.2012;142.95;143.64;142.81;143.2;453,048
  07.08.2012;143.08;143.36;142.17;142.33;632,298
  08.08.2012;142.36;143.18;142.35;142.75;621,588
  09.08.2012;142.63;143.16;142.36;142.56;537,869
  10.08.2012;143.04;143.66;142.94;143.4;445,505
  13.08.2012;143.33;143.58;142.61;143.18;435,989
  14.08.2012;143;143.08;142.28;142.43;516,864
  15.08.2012;142.38;142.45;141.33;141.41;594,259
  16.08.2012;141.05;141.89;140.78;141.78;628,227
  17.08.2012;141.73;142.22;141.45;142.12;425,398
  20.08.2012;141.85;142.17;141.14;142;573,858
  21.08.2012;141.95;141.99;141.27;141.38;577,16
  22.08.2012;142.02;142.88;141.63;142.61;660,825
  23.08.2012;142.74;143.72;142.7;143.5;776,526
  24.08.2012;143.51;144.13;143.42;144;611,653
  27.08.2012;143.89;143.99;143.55;143.8;215,011
  28.08.2012;143.9;144.06;143.62;143.96;515,214
