Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  22.08.2007;113,68;113,71;113,10;113,31;1.309.955
  23.08.2007;113,10;113,70;112,89;113,57;1.186.982
  24.08.2007;113,59;113,84;113,46;113,55;916.710
  27.08.2007;113,51;113,80;113,17;113,80;365.067
  28.08.2007;113,84;114,06;113,56;114,05;974.727
  29.08.2007;114,10;114,25;113,62;113,66;1.137.756
  30.08.2007;113,77;113,98;113,62;113,93;1.194.378
  31.08.2007;113,35;114,25;111,92;113,77;1.296.441
  03.09.2007;113,57;113,84;113,47;113,63;590.978
  04.09.2007;113,66;113,86;113,35;113,48;1.792.307
  05.09.2007;113,57;114,08;113,42;113,99;1.690.602
  06.09.2007;113,53;113,80;113,43;113,63;1.071.469
  07.09.2007;113,72;114,53;113,61;114,46;1.320.914
  10.09.2007;114,49;114,98;114,34;114,76;1.191.890
  11.09.2007;114,69;114,79;114,52;114,56;1.148.322
  12.09.2007;114,66;114,75;114,34;114,45;998.067
  13.09.2007;114,50;114,62;113,94;114,04;1.248.825
  14.09.2007;114,19;114,46;113,93;114,08;1.117.992
  17.09.2007;113,99;114,37;113,91;114,27;899.671
  18.09.2007;114,30;114,32;113,47;113,85;1.346.282
  19.09.2007;113,71;113,71;113,00;113,16;1.499.423
  20.09.2007;112,98;113,24;112,28;112,30;1.376.946
  21.09.2007;112,41;112,64;112,24;112,47;1.052.431
  24.09.2007;112,41;112,62;112,19;112,45;926.188
  25.09.2007;112,49;112,88;112,43;112,57;1.120.070
  26.09.2007;112,54;112,61;112,14;112,29;1.163.618
  27.09.2007;112,23;112,47;112,03;112,43;1.244.571
  28.09.2007;112,38;112,75;112,31;112,54;970.155
  30.09.2007;113,57;114,98;112,03;112,68;0
  01.10.2007;112,56;112,81;112,39;112,65;916.460
  02.10.2007;112,58;112,93;112,36;112,80;1.025.106
  03.10.2007;112,77;113,01;112,49;112,60;1.039.878
  04.10.2007;112,57;113,06;112,48;112,98;1.063.505
  05.10.2007;112,93;113,09;112,26;112,41;1.291.575
  08.10.2007;112,39;112,48;112,20;112,45;450.082
  09.10.2007;112,43;112,74;112,30;112,49;993.502
  10.10.2007;112,48;112,57;112,19;112,46;1.055.486
